domain,jumlah_kasus,hack judol,hacked,pornografi,hack_judol,last_scan
man8-jombang.sch.id,1,1,0,0,1,2025-11-03 03:30:16
macanasia.mondialjhs.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smkn11jakarta.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smpnegeri3palangkaraya.sch.id,1,1,0,0,1,2025-11-03 03:30:16
maburhanulabrar.sch.id,1,1,0,0,1,2025-11-03 03:30:16
sman17pandeglang.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smpn3cbd-citaidola.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smantisolok.sch.id,1,1,0,0,1,2025-11-03 03:30:16
ppdb.sditsalsabila3banguntapan.sch.id,1,1,0,0,1,2025-11-03 03:30:16
sman10samarinda.sch.id,1,1,0,0,1,2025-11-03 03:30:16
stsganjil.man1bogor.sch.id,1,1,0,0,1,2025-11-03 03:30:16
man2banjarnegara.sch.id,1,1,0,0,1,2025-11-03 03:30:16
library.smpn2secang.sch.id,1,1,0,0,1,2025-11-03 03:30:16
elearning.mtsmhmlonggo.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smktikarce.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smamiogkb.sch.id,1,1,0,0,1,2025-11-03 03:30:16
ejurnal.ung.ac.id,1,1,0,0,1,2025-11-03 03:30:16
ppb.ac.id,1,1,0,0,1,2025-11-03 03:30:16
www.smkn1banyudono.sch.id,1,1,0,0,1,2025-11-03 03:30:16
lentera.uin-alauddin.ac.id,1,1,0,0,1,2025-11-03 03:30:16
pendaftaran.upnvj.ac.id,1,1,0,0,1,2025-11-03 03:30:16
scbtii.telkomuniversity.ac.id,1,1,0,0,1,2025-11-03 03:30:16
sia.stiemakisaran.ac.id,1,1,0,0,1,2025-11-03 03:30:16
neo77.skkkmalang.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smankobengkulu.sch.id,1,1,0,0,1,2025-11-03 03:30:16
jurnal.akfarbhumihusada.ac.id,1,1,0,0,1,2025-11-03 03:30:16
nibs.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smkn12bandung.sch.id,1,1,0,0,1,2025-11-03 03:30:16
sarpras.upp.ac.id,1,1,0,0,1,2025-11-03 03:30:16
dakwah.ptiq.ac.id,1,1,0,0,1,2025-11-03 03:30:16
ejournal.stpmataram.ac.id,1,1,0,0,1,2025-11-03 03:30:16
lp2.uad.ac.id,1,1,0,0,1,2025-11-03 03:30:16
jurnal.pps.uniga.ac.id,1,1,0,0,1,2025-11-03 03:30:16
pgpaud.stkipmodernngawi.ac.id,1,1,0,0,1,2025-11-03 03:30:16
perpus.stmkg.ac.id,1,0,1,0,0,2025-11-03 03:30:16
journal.uniku.ac.id,1,0,1,0,0,2025-11-03 03:30:16
ojs.unh.ac.id,1,0,1,0,0,2025-11-03 03:30:16
www.sister.insanprimamu.ac.id,1,0,1,0,0,2025-11-03 03:30:16
iaifa.ac.id,1,1,0,0,1,2025-11-03 03:30:16
smkbanimuslimpati.sch.id,1,1,0,0,1,2025-11-03 03:30:16
www.sman1cikpus.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smatridayatunasbangsa.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smpkanisiustemanggung.sch.id,1,1,0,0,1,2025-11-03 03:30:16
www.abdihusada.ac.id,1,1,0,0,1,2025-11-03 03:30:16
www.smkn1lingsar.sch.id,1,1,0,0,1,2025-11-03 03:30:16
smkn42jkt.sch.id,1,1,0,0,1,2025-11-03 03:30:16
www.sso.unmus.ac.id,1,1,0,0,1,2025-11-03 03:30:16
ejournal.uinmybatusangkar.ac.id,1,1,0,0,1,2025-11-03 03:30:16
www.uks.ihbs.sch.id,1,1,0,0,1,2025-11-03 03:30:16
perpustakaan.man1pasuruan.sch.id,1,1,0,0,1,2025-11-03 03:30:16
e-learning.akoms.ac.id,1,1,0,0,1,2025-11-03 03:30:16
sia.poltekkeskupang.ac.id,1,1,0,0,1,2025-11-03 03:30:16
www.stkip.babunnajah.ac.id,1,1,0,0,1,2025-11-03 03:30:16
treasure.polinema.ac.id,1,1,0,0,1,2025-11-03 03:30:16
jurnal.iainponorogo.ac.id,1,1,0,0,1,2025-11-03 03:30:16
pmb-unimus.ac.id,1,1,0,0,1,2025-11-03 03:30:16
cahayabangsa.sch.id,0,0,0,0,0,2025-11-03 08:59:37
walisongo.ac.id,0,0,0,0,0,2025-11-04 08:49:12
akpersintang.ac.id,0,0,0,0,0,2025-11-04 11:05:07
unnes.ac.id,0,0,0,0,0,2025-11-01 15:08:40
